ctr	0.00049918	0.00044323
sn	NaN	NaN
flux	4.25790824	3.78066888
	pct_120_ncomp_1_pos_(22.0, 33.0)	pct_120_ncomp_1_pos_(22.0, 33.0)
	1	2
ctr	0.00053568	0.00052225
sn	NaN	NaN
flux	4.56923885	4.45469524
	pct_120_ncomp_2_pos_(22.0, 33.0)	pct_120_ncomp_2_pos_(22.0, 33.0)
	1	2
ctr	0.00063081	0.00054627
sn	NaN	NaN
flux	5.38074648	4.65963699
	ncorr_1_ncomp_1_pos_(22.0, 33.0)	ncorr_1_ncomp_1_pos_(22.0, 33.0)
	60	120
ctr	0.00049744	0.00053568
sn	NaN	NaN
flux	4.24311394	4.56923885
	ncorr_1_ncomp_2_pos_(22.0, 33.0)	ncorr_1_ncomp_2_pos_(22.0, 33.0)
	60	120
ctr	0.00049918	0.00063081
sn	NaN	NaN
flux	4.25790824	5.38074648
	ncorr_2_ncomp_1_pos_(22.0, 33.0)	ncorr_2_ncomp_1_pos_(22.0, 33.0)
	60	120
ctr	0.00045495	0.00052225
sn	NaN	NaN
flux	3.88068108	4.45469524
	ncorr_2_ncomp_2_pos_(22.0, 33.0)	ncorr_2_ncomp_2_pos_(22.0, 33.0)
	60	120
ctr	0.00044323	0.00054627
sn	NaN	NaN
flux	3.78066888	4.65963699
	pct_1283_ncorr_50_pos_(22.0, 33.0)	pct_1283_ncorr_50_pos_(22.0, 33.0)	pct_1283_ncorr_50_pos_(22.0, 33.0)	pct_1283_ncorr_50_pos_(22.0, 33.0)	pct_1283_ncorr_50_pos_(22.0, 33.0)	pct_1283_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	0.01015563	0.00600552	0.00354108	0.00108738	0.00046760	0.00033441
sn	0.58972105	0.42413454	0.37899984	0.15155142	0.10915533	0.16242584
flux	346.29249779	204.77965022	120.74581103	37.07825656	15.94462209	11.40292011
	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	0.00283838	0.00502699	0.00645008	0.00218877	0.00103438	0.00054383
sn	0.29021619	0.53791954	0.84984784	0.45845381	0.24583525	0.29505664
flux	96.78481082	171.41328662	219.93863297	74.63389183	35.27095438	18.54374383
	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00110094	0.00176378	0.00029237	-0.00006783	-0.00015661	-0.00042400
sn	0.19572084	0.51714477	0.20127561	0.22940284	0.09624046	-0.88273817
flux	-37.54057163	60.14234760	9.96931905	-2.31299941	-5.34019133	-14.45784102
	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00110359	0.00097824	0.00001809	-0.00060529	-0.00053704	-0.00031620
sn	0.39972531	0.29670399	0.04113955	-0.24416951	-0.38919122	-0.96169201
flux	-37.63079018	33.35674850	0.61693619	-20.63945275	-18.31217688	-10.78181722
	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00084537	0.00039999	-0.00040212	-0.00022887	-0.00001951	-0.00025580
sn	0.07215944	0.16041013	-0.03270811	0.28264510	0.44475520	-0.34788950
flux	-28.82600980	13.63917465	-13.71175618	-7.80425883	-0.66517853	-8.72227673
	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	0.00115071	0.00046066	-0.00031548	-0.00018702	-0.00024035	-0.00006708
sn	0.43773751	0.22071012	-0.10160887	0.05652119	0.13403651	0.35493652
flux	39.23762553	15.70777190	-10.75740858	-6.37720468	-8.19546259	-2.28731473
	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00113700	-0.00174828	0.00115870	0.00036920	0.00026584	-0.00005588
sn	-0.12203017	-0.42436155	0.48331314	0.52356218	0.63739772	0.11361989
flux	-38.77001820	-59.61383334	39.51017963	12.58921546	9.06484958	-1.90535617
	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00154615	-0.00226813	0.00046083	-0.00015820	0.00009243	-0.00009697
sn	-0.20917332	-0.42505147	0.23871563	-0.04838466	0.35189552	-0.22857078
flux	-52.72144317	-77.34014038	15.71369255	-5.39438117	3.15157984	-3.30657274
	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00191553	-0.00296165	-0.00018476	0.00021986	0.00040663	0.00005700
sn	0.04759373	-0.53245138	0.00572747	0.29416632	0.65700834	0.51240214
flux	-65.31674300	-100.98810374	-6.30014150	7.49691558	13.86565247	1.94358799
	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00111596	-0.00093636	-0.00118370	0.00002876	0.00020585	0.00001315
sn	0.19993925	0.06259069	-0.49842602	0.28348203	0.55963839	0.10509036
flux	-38.05249417	-31.92838383	-40.36237251	0.98078990	7.01925240	0.44837138
	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00176390	-0.00177915	-0.00027836	-0.00042734	-0.00062925	-0.00010981
sn	-0.23085084	-0.12986020	0.15160705	-0.05530809	-0.48765099	-0.04754900
flux	-60.14651164	-60.66648245	-9.49184037	-14.57153884	-21.45644703	-3.74430018
	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	0.00113945	-0.00152538	-0.00142979	-0.00025117	-0.00000427	-0.00004695
sn	0.49633465	-0.12985741	-0.52363376	-0.10306821	0.04378027	-0.15089192
flux	38.85363189	-52.01340021	-48.75391823	-8.56457515	-0.14554436	-1.60091129
	pct_1283_ncomp_20_pos_(22.0, 33.0)	pct_1283_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	0.01015563	0.00283838
sn	0.58972105	0.29021619
flux	346.29249779	96.78481082
	pct_1283_ncomp_40_pos_(22.0, 33.0)	pct_1283_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	0.00600552	0.00502699
sn	0.42413454	0.53791954
flux	204.77965022	171.41328662
	pct_1283_ncomp_60_pos_(22.0, 33.0)	pct_1283_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	0.00354108	0.00645008
sn	0.37899984	0.84984784
flux	120.74581103	219.93863297
	pct_1283_ncomp_80_pos_(22.0, 33.0)	pct_1283_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	0.00108738	0.00218877
sn	0.15155142	0.45845381
flux	37.07825656	74.63389183
	pct_1283_ncomp_100_pos_(22.0, 33.0)	pct_1283_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	0.00046760	0.00103438
sn	0.10915533	0.24583525
flux	15.94462209	35.27095438
	pct_1283_ncomp_150_pos_(22.0, 33.0)	pct_1283_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	0.00033441	0.00054383
sn	0.16242584	0.29505664
flux	11.40292011	18.54374383
	pct_6418_ncomp_20_pos_(22.0, 33.0)	pct_6418_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00110094	-0.00110359
sn	0.19572084	0.39972531
flux	-37.54057163	-37.63079018
	pct_6418_ncomp_40_pos_(22.0, 33.0)	pct_6418_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	0.00176378	0.00097824
sn	0.51714477	0.29670399
flux	60.14234760	33.35674850
	pct_6418_ncomp_60_pos_(22.0, 33.0)	pct_6418_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	0.00029237	0.00001809
sn	0.20127561	0.04113955
flux	9.96931905	0.61693619
	pct_6418_ncomp_80_pos_(22.0, 33.0)	pct_6418_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	-0.00006783	-0.00060529
sn	0.22940284	-0.24416951
flux	-2.31299941	-20.63945275
	pct_6418_ncomp_100_pos_(22.0, 33.0)	pct_6418_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	-0.00015661	-0.00053704
sn	0.09624046	-0.38919122
flux	-5.34019133	-18.31217688
	pct_6418_ncomp_150_pos_(22.0, 33.0)	pct_6418_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	-0.00042400	-0.00031620
sn	-0.88273817	-0.96169201
flux	-14.45784102	-10.78181722
	pct_12836_ncomp_20_pos_(22.0, 33.0)	pct_12836_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00084537	0.00115071
sn	0.07215944	0.43773751
flux	-28.82600980	39.23762553
	pct_12836_ncomp_40_pos_(22.0, 33.0)	pct_12836_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	0.00039999	0.00046066
sn	0.16041013	0.22071012
flux	13.63917465	15.70777190
	pct_12836_ncomp_60_pos_(22.0, 33.0)	pct_12836_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	-0.00040212	-0.00031548
sn	-0.03270811	-0.10160887
flux	-13.71175618	-10.75740858
	pct_12836_ncomp_80_pos_(22.0, 33.0)	pct_12836_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	-0.00022887	-0.00018702
sn	0.28264510	0.05652119
flux	-7.80425883	-6.37720468
	pct_12836_ncomp_100_pos_(22.0, 33.0)	pct_12836_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	-0.00001951	-0.00024035
sn	0.44475520	0.13403651
flux	-0.66517853	-8.19546259
	pct_12836_ncomp_150_pos_(22.0, 33.0)	pct_12836_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	-0.00025580	-0.00006708
sn	-0.34788950	0.35493652
flux	-8.72227673	-2.28731473
	pct_25673_ncomp_20_pos_(22.0, 33.0)	pct_25673_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00113700	-0.00154615
sn	-0.12203017	-0.20917332
flux	-38.77001820	-52.72144317
	pct_25673_ncomp_40_pos_(22.0, 33.0)	pct_25673_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	-0.00174828	-0.00226813
sn	-0.42436155	-0.42505147
flux	-59.61383334	-77.34014038
	pct_25673_ncomp_60_pos_(22.0, 33.0)	pct_25673_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	0.00115870	0.00046083
sn	0.48331314	0.23871563
flux	39.51017963	15.71369255
	pct_25673_ncomp_80_pos_(22.0, 33.0)	pct_25673_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	0.00036920	-0.00015820
sn	0.52356218	-0.04838466
flux	12.58921546	-5.39438117
	pct_25673_ncomp_100_pos_(22.0, 33.0)	pct_25673_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	0.00026584	0.00009243
sn	0.63739772	0.35189552
flux	9.06484958	3.15157984
	pct_25673_ncomp_150_pos_(22.0, 33.0)	pct_25673_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	-0.00005588	-0.00009697
sn	0.11361989	-0.22857078
flux	-1.90535617	-3.30657274
	pct_64184_ncomp_20_pos_(22.0, 33.0)	pct_64184_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00191553	-0.00111596
sn	0.04759373	0.19993925
flux	-65.31674300	-38.05249417
	pct_64184_ncomp_40_pos_(22.0, 33.0)	pct_64184_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	-0.00296165	-0.00093636
sn	-0.53245138	0.06259069
flux	-100.98810374	-31.92838383
	pct_64184_ncomp_60_pos_(22.0, 33.0)	pct_64184_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	-0.00018476	-0.00118370
sn	0.00572747	-0.49842602
flux	-6.30014150	-40.36237251
	pct_64184_ncomp_80_pos_(22.0, 33.0)	pct_64184_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	0.00021986	0.00002876
sn	0.29416632	0.28348203
flux	7.49691558	0.98078990
	pct_64184_ncomp_100_pos_(22.0, 33.0)	pct_64184_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	0.00040663	0.00020585
sn	0.65700834	0.55963839
flux	13.86565247	7.01925240
	pct_64184_ncomp_150_pos_(22.0, 33.0)	pct_64184_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	0.00005700	0.00001315
sn	0.51240214	0.10509036
flux	1.94358799	0.44837138
	pct_128368_ncomp_20_pos_(22.0, 33.0)	pct_128368_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00176390	0.00113945
sn	-0.23085084	0.49633465
flux	-60.14651164	38.85363189
	pct_128368_ncomp_40_pos_(22.0, 33.0)	pct_128368_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	-0.00177915	-0.00152538
sn	-0.12986020	-0.12985741
flux	-60.66648245	-52.01340021
	pct_128368_ncomp_60_pos_(22.0, 33.0)	pct_128368_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	-0.00027836	-0.00142979
sn	0.15160705	-0.52363376
flux	-9.49184037	-48.75391823
	pct_128368_ncomp_80_pos_(22.0, 33.0)	pct_128368_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	-0.00042734	-0.00025117
sn	-0.05530809	-0.10306821
flux	-14.57153884	-8.56457515
	pct_128368_ncomp_100_pos_(22.0, 33.0)	pct_128368_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	-0.00062925	-0.00000427
sn	-0.48765099	0.04378027
flux	-21.45644703	-0.14554436
	pct_128368_ncomp_150_pos_(22.0, 33.0)	pct_128368_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	-0.00010981	-0.00004695
sn	-0.04754900	-0.15089192
flux	-3.74430018	-1.60091129
	ncorr_50_ncomp_20_pos_(22.0, 33.0)	ncorr_50_ncomp_20_pos_(22.0, 33.0)	ncorr_50_ncomp_20_pos_(22.0, 33.0)	ncorr_50_ncomp_20_pos_(22.0, 33.0)	ncorr_50_ncomp_20_pos_(22.0, 33.0)	ncorr_50_ncomp_20_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.01015563	-0.00110094	-0.00084537	-0.00113700	-0.00191553	-0.00176390
sn	0.58972105	0.19572084	0.07215944	-0.12203017	0.04759373	-0.23085084
flux	346.29249779	-37.54057163	-28.82600980	-38.77001820	-65.31674300	-60.14651164
	ncorr_50_ncomp_40_pos_(22.0, 33.0)	ncorr_50_ncomp_40_pos_(22.0, 33.0)	ncorr_50_ncomp_40_pos_(22.0, 33.0)	ncorr_50_ncomp_40_pos_(22.0, 33.0)	ncorr_50_ncomp_40_pos_(22.0, 33.0)	ncorr_50_ncomp_40_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00600552	0.00176378	0.00039999	-0.00174828	-0.00296165	-0.00177915
sn	0.42413454	0.51714477	0.16041013	-0.42436155	-0.53245138	-0.12986020
flux	204.77965022	60.14234760	13.63917465	-59.61383334	-100.98810374	-60.66648245
	ncorr_50_ncomp_60_pos_(22.0, 33.0)	ncorr_50_ncomp_60_pos_(22.0, 33.0)	ncorr_50_ncomp_60_pos_(22.0, 33.0)	ncorr_50_ncomp_60_pos_(22.0, 33.0)	ncorr_50_ncomp_60_pos_(22.0, 33.0)	ncorr_50_ncomp_60_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00354108	0.00029237	-0.00040212	0.00115870	-0.00018476	-0.00027836
sn	0.37899984	0.20127561	-0.03270811	0.48331314	0.00572747	0.15160705
flux	120.74581103	9.96931905	-13.71175618	39.51017963	-6.30014150	-9.49184037
	ncorr_50_ncomp_80_pos_(22.0, 33.0)	ncorr_50_ncomp_80_pos_(22.0, 33.0)	ncorr_50_ncomp_80_pos_(22.0, 33.0)	ncorr_50_ncomp_80_pos_(22.0, 33.0)	ncorr_50_ncomp_80_pos_(22.0, 33.0)	ncorr_50_ncomp_80_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00108738	-0.00006783	-0.00022887	0.00036920	0.00021986	-0.00042734
sn	0.15155142	0.22940284	0.28264510	0.52356218	0.29416632	-0.05530809
flux	37.07825656	-2.31299941	-7.80425883	12.58921546	7.49691558	-14.57153884
	ncorr_50_ncomp_100_pos_(22.0, 33.0)	ncorr_50_ncomp_100_pos_(22.0, 33.0)	ncorr_50_ncomp_100_pos_(22.0, 33.0)	ncorr_50_ncomp_100_pos_(22.0, 33.0)	ncorr_50_ncomp_100_pos_(22.0, 33.0)	ncorr_50_ncomp_100_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00046760	-0.00015661	-0.00001951	0.00026584	0.00040663	-0.00062925
sn	0.10915533	0.09624046	0.44475520	0.63739772	0.65700834	-0.48765099
flux	15.94462209	-5.34019133	-0.66517853	9.06484958	13.86565247	-21.45644703
	ncorr_50_ncomp_150_pos_(22.0, 33.0)	ncorr_50_ncomp_150_pos_(22.0, 33.0)	ncorr_50_ncomp_150_pos_(22.0, 33.0)	ncorr_50_ncomp_150_pos_(22.0, 33.0)	ncorr_50_ncomp_150_pos_(22.0, 33.0)	ncorr_50_ncomp_150_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00033441	-0.00042400	-0.00025580	-0.00005588	0.00005700	-0.00010981
sn	0.16242584	-0.88273817	-0.34788950	0.11361989	0.51240214	-0.04754900
flux	11.40292011	-14.45784102	-8.72227673	-1.90535617	1.94358799	-3.74430018
	ncorr_100_ncomp_20_pos_(22.0, 33.0)	ncorr_100_ncomp_20_pos_(22.0, 33.0)	ncorr_100_ncomp_20_pos_(22.0, 33.0)	ncorr_100_ncomp_20_pos_(22.0, 33.0)	ncorr_100_ncomp_20_pos_(22.0, 33.0)	ncorr_100_ncomp_20_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00283838	-0.00110359	0.00115071	-0.00154615	-0.00111596	0.00113945
sn	0.29021619	0.39972531	0.43773751	-0.20917332	0.19993925	0.49633465
flux	96.78481082	-37.63079018	39.23762553	-52.72144317	-38.05249417	38.85363189
	ncorr_100_ncomp_40_pos_(22.0, 33.0)	ncorr_100_ncomp_40_pos_(22.0, 33.0)	ncorr_100_ncomp_40_pos_(22.0, 33.0)	ncorr_100_ncomp_40_pos_(22.0, 33.0)	ncorr_100_ncomp_40_pos_(22.0, 33.0)	ncorr_100_ncomp_40_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00502699	0.00097824	0.00046066	-0.00226813	-0.00093636	-0.00152538
sn	0.53791954	0.29670399	0.22071012	-0.42505147	0.06259069	-0.12985741
flux	171.41328662	33.35674850	15.70777190	-77.34014038	-31.92838383	-52.01340021
	ncorr_100_ncomp_60_pos_(22.0, 33.0)	ncorr_100_ncomp_60_pos_(22.0, 33.0)	ncorr_100_ncomp_60_pos_(22.0, 33.0)	ncorr_100_ncomp_60_pos_(22.0, 33.0)	ncorr_100_ncomp_60_pos_(22.0, 33.0)	ncorr_100_ncomp_60_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00645008	0.00001809	-0.00031548	0.00046083	-0.00118370	-0.00142979
sn	0.84984784	0.04113955	-0.10160887	0.23871563	-0.49842602	-0.52363376
flux	219.93863297	0.61693619	-10.75740858	15.71369255	-40.36237251	-48.75391823
	ncorr_100_ncomp_80_pos_(22.0, 33.0)	ncorr_100_ncomp_80_pos_(22.0, 33.0)	ncorr_100_ncomp_80_pos_(22.0, 33.0)	ncorr_100_ncomp_80_pos_(22.0, 33.0)	ncorr_100_ncomp_80_pos_(22.0, 33.0)	ncorr_100_ncomp_80_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00218877	-0.00060529	-0.00018702	-0.00015820	0.00002876	-0.00025117
sn	0.45845381	-0.24416951	0.05652119	-0.04838466	0.28348203	-0.10306821
flux	74.63389183	-20.63945275	-6.37720468	-5.39438117	0.98078990	-8.56457515
	ncorr_100_ncomp_100_pos_(22.0, 33.0)	ncorr_100_ncomp_100_pos_(22.0, 33.0)	ncorr_100_ncomp_100_pos_(22.0, 33.0)	ncorr_100_ncomp_100_pos_(22.0, 33.0)	ncorr_100_ncomp_100_pos_(22.0, 33.0)	ncorr_100_ncomp_100_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00103438	-0.00053704	-0.00024035	0.00009243	0.00020585	-0.00000427
sn	0.24583525	-0.38919122	0.13403651	0.35189552	0.55963839	0.04378027
flux	35.27095438	-18.31217688	-8.19546259	3.15157984	7.01925240	-0.14554436
	ncorr_100_ncomp_150_pos_(22.0, 33.0)	ncorr_100_ncomp_150_pos_(22.0, 33.0)	ncorr_100_ncomp_150_pos_(22.0, 33.0)	ncorr_100_ncomp_150_pos_(22.0, 33.0)	ncorr_100_ncomp_150_pos_(22.0, 33.0)	ncorr_100_ncomp_150_pos_(22.0, 33.0)
	1283	6418	12836	25673	64184	128368
ctr	0.00054383	-0.00031620	-0.00006708	-0.00009697	0.00001315	-0.00004695
sn	0.29505664	-0.96169201	0.35493652	-0.22857078	0.10509036	-0.15089192
flux	18.54374383	-10.78181722	-2.28731473	-3.30657274	0.44837138	-1.60091129
	pct_1283_ncorr_50_pos_(25.6201, 10.472585)	pct_1283_ncorr_50_pos_(25.6201, 10.472585)	pct_1283_ncorr_50_pos_(25.6201, 10.472585)	pct_1283_ncorr_50_pos_(25.6201, 10.472585)	pct_1283_ncorr_50_pos_(25.6201, 10.472585)	pct_1283_ncorr_50_pos_(25.6201, 10.472585)
	20	40	60	80	100	150
ctr	0.00874767	0.03812866	0.01963476	0.01163915	0.01595211	0.01233115
